codigo_municipio;codigo_dpartamento
5001;5
5043;5
5088;5
5129;5
5145;5
5148;5
5154;5
5234;5
5266;5
5308;5
5360;5
5440;5
5579;5
5615;5
5670;5
5674;5
5697;5
8001;8
8296;8
8758;8
11001;11
13001;13
15001;15
15759;15
15810;15
17001;17
17486;17
17873;17
18001;18
18256;18
19001;19
20001;20
20013;20
20400;20
23001;23
25286;25
25740;25
25899;25
41001;41
41885;41
47001;47
47053;47
47675;47
50001;50
50006;50
52227;52
52317;52
52356;52
52378;52
54001;54
54874;54
66001;66
66170;66
68001;68
68081;68
70771;70
73001;73
76001;76
76020;76
76036;76
76100;76
76109;76
76111;76
76130;76
76147;76
76233;76
76318;76
76364;76
76520;76
76563;76
76834;76
76892;76
86001;76
99001;76
